Wavelength,Sensitivity
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,0.881743489
339,0.881993766
340,0.882243271
341,0.882490721
342,0.882734247
343,0.882971435
344,0.883199374
345,0.883414684
346,0.883613567
347,0.883791837
348,0.88394496
349,0.884068092
350,0.884156114
351,0.884203666
352,0.884205181
353,0.884154919
354,0.884046994
355,0.88387541
356,0.883634089
357,0.883316895
358,0.882917667
359,0.882430241
360,0.881848476
361,0.881166276
362,0.880377617
363,0.879476562
364,0.87845729
365,0.877314109
366,0.876041483
367,0.874634052
368,0.873086651
369,0.871394337
370,0.869552411
371,0.867556443
372,0.865402299
373,0.863086175
374,0.860604619
375,0.857954573
376,0.855133406
377,0.852138953
378,0.848969559
379,0.845624123
380,0.842102145
381,0.838403785
382,0.834529913
383,0.830482171
384,0.826263041
385,0.821875908
386,0.817325134
387,0.812616138
388,0.807755473
389,0.802750913
390,0.797611544
391,0.792347854
392,0.786971833
393,0.781497076
394,0.775938885
395,0.77031438
396,0.764642613
397,0.758944679
398,0.753243835
399,0.747565624
400,0.741937992
401,0.736390418
402,0.730950076
403,0.725641042
404,0.720484507
405,0.71549899
406,0.710700543
407,0.706102948
408,0.701717907
409,0.697555225
410,0.693622986
411,0.689927713
412,0.68647453
413,0.683267303
414,0.68030878
415,0.677600718
416,0.675143998
417,0.672938741
418,0.670984401
419,0.669279864
420,0.667823523
421,0.66661336
422,0.665647006
423,0.664921805
424,0.664434856
425,0.664183062
426,0.664163164
427,0.664371768
428,0.664805371
429,0.665460378
430,0.666333113
431,0.667419834
432,0.668716732
433,0.670219938
434,0.671925518
435,0.673829473
436,0.675927734
437,0.678216153
438,0.680690498
439,0.683346446
440,0.68617957
441,0.68918534
442,0.692359105
443,0.695696097
444,0.699191417
445,0.702840036
446,0.706636789
447,0.710576374
448,0.714653355
449,0.718862157
450,0.723197076
451,0.72765228
452,0.732221816
453,0.736899617
454,0.741679512
455,0.746555235
456,0.751520434
457,0.756568688
458,0.761693514
459,0.766888384
460,0.772146739
461,0.777462004
462,0.782827602
463,0.788236969
464,0.793683568
465,0.7991609
466,0.804662521
467,0.810182048
468,0.815713174
469,0.821249671
470,0.826785403
471,0.832314325
472,0.837830495
473,0.84332807
474,0.848801315
475,0.854244594
476,0.859652381
477,0.865019248
478,0.870339869
479,0.875609014
480,0.880821549
481,0.885972429
482,0.891056695
483,0.896069472
484,0.901005964
485,0.905861452
486,0.910631287
487,0.915310892
488,0.919895754
489,0.924381424
490,0.928763513
491,0.93303769
492,0.937199677
493,0.94124525
494,0.945170236
495,0.948970511
496,0.952641999
497,0.956180676
498,0.959582566
499,0.962843746
500,0.965960346
501,0.968928556
502,0.971744625
503,0.974404868
504,0.976905669
505,0.979243487
506,0.98141486
507,0.983416412
508,0.985244859
509,0.986897017
510,0.988369806
511,0.989660259
512,0.99076553
513,0.991682899
514,0.992409781
515,0.99294373
516,0.993282452
517,0.993423802
518,0.993365799
519,0.993106627
520,0.992644643
521,0.991978378
522,0.991106547
523,0.990028048
524,0.988741969
525,0.987247589
526,0.985544384
527,0.983632023
528,0.981510377
529,0.979179516
530,0.976639711
531,0.973891434
532,0.970935361
533,0.967772371
534,0.964403546
535,0.960830173
536,0.957053741
537,0.95307595
538,0.948898704
539,0.944524121
540,0.939954531
541,0.935192481
542,0.930240737
543,0.925102287
544,0.919780342
545,0.91427834
546,0.908599944
547,0.902749043
548,0.896729753
549,0.890546407
550,0.884203561
551,0.877705979
552,0.871058633
553,0.864266691
554,0.857335508
555,0.850270618
556,0.843077716
557,0.83576265
558,0.828331404
559,0.820790083
560,0.813144897
561,0.805402148
562,0.797568206
563,0.7896495
564,0.781652493
565,0.773583669
566,0.765449516
567,0.757256505
568,0.749011079
569,0.740719632
570,0.732388494
571,0.724023919
572,0.71563207
573,0.707219001
574,0.698790649
575,0.690352823
576,0.681911186
577,0.673471252
578,0.66503837
579,0.656617717
580,0.648214292
581,0.639832903
582,0.631478164
583,0.623154483
584,0.614866064
585,0.606616893
586,0.598410741
587,0.590251155
588,0.582141459
589,0.574084752
590,0.566083904
591,0.55814156
592,0.55026014
593,0.542441841
594,0.534688642
595,0.527002306
596,0.519384385
597,0.511836229
598,0.50435899
599,0.496953628
600,0.489620922
601,0.482361475
602,0.475175721
603,0.468063937
604,0.461026247
605,0.454062631
606,0.447172936
607,0.440356882
608,0.433614073
609,0.426944002
610,0.420346068
611,0.413819577
612,0.407363757
613,0.400977767
614,0.394660702
615,0.388411609
616,0.382229486
617,0.376113301
618,0.37006199
619,0.364074469
620,0.35814964
621,0.352286393
622,0.346483612
623,0.340740177
624,0.33505497
625,0.32942687
626,0.323854758
627,0.31833752
628,0.312874042
629,0.307463214
630,0.302103929
631,0.296795083
632,0.291535576
633,0.286324315
634,0.281160208
635,0.276042172
636,0.27096913
637,0.265940014
638,0.260953765
639,0.256009335
640,0.251105688
641,0.246241799
642,0.241416658
643,0.236629268
644,0.231878647
645,0.227163828
646,0.222483857
647,0.217837795
648,0.213224718
649,0.208643718
650,0.204093896
651,0.199574372
652,0.195084275
653,0.190622749
654,0.186188947
655,0.181782037
656,0.177401192
657,0.1730456
658,0.168714453
659,0.164406954
660,0.160122308
661,0.155859732
662,0.151618445
663,0.14739767
664,0.143196637
665,0.13901458
666,0.134850736
667,0.130704347
668,0.12657466
669,0.122460925
670,0.118362399
671,0.114278342
672,0.11020802
673,0.106150706
674,0.10210568
675,0.098072227
676,0.094049643
677,0.090037232
678,0.086034311
679,0.082040205
680,0.078054255
681,0.074075815
682,0.070104257
683,0.066138968
684,0.062179356
685,0.058224849
686,0.054274896
687,0.050328974
688,0.046386579
689,0.04244724
690,0.038510511
691,0.034575977
692,0.030643253
693,0.02671199
694,0.022781871
695,0.018852614
696,0.014923978
697,0.010995758
698,0.007067788
699,0.003139947
700,0
