Wavelength,D65,Los Angeles LED,LEDway Streetlight CW 54W,150 W HPS,OCTRON 32 W,Iwasaki 60W,Ceramic Metal Halide 70 W,74 WW CW7,3000K LED,74 WW CW10,LPS 18 W,Anna's Light,AEL 75W,PC Amber Cree,Cosmopolis 60W,LLT Telescope Light,Yard Blaster,SORAA Vivid,Kerosene Oil,TL950,CFL Greenlite 13 W,A,Full moon,LSG Good Night 2016,Philips AmbientLED,3000K CW8,3000K CW9,3000K,2700K Anna,NBA,Bedtime Bulb,Sunlike 4000K LED,2700K LED,2700K LED 2,ES 1620 K,ES 1950 K,ES 2200 K,ES 3000 K,ES Red
350,0.000006223,0,2.71E-08,1.47E-07,7.40E-07,0.000001442,2.49E-06,0,2.30E-06,0,1.99E-08,0,7.47E-09,0,6.41E-07,0,0.000001773,0,5.46E-07,0,3.22E-07,6.44E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00070931,0.00041751,0,0,0,0,0
351,0.00000626,0,2.78E-08,1.52E-07,7.14E-07,0.000001514,0.000002784,0,2.32E-06,0,6.75E-09,0,7.47E-09,0,8.49E-07,0,0.000002087,0,2.86E-07,0,3.42E-07,6.59E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00071722,0.00040696,0,0,0,0,0
352,0.000006294,0,2.54E-08,1.56E-07,6.79E-07,0.000001565,0.00000304,0,2.30E-06,0,5.19E-10,0,7.47E-09,0,1.01E-06,0,0.000002425,0,9.57E-08,0,3.60E-07,6.78E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00070867,0.00040642,0,0,0,0,0
353,0.000006321,0,2.33E-08,1.60E-07,6.49E-07,0.00000161,0.000003273,0,2.27E-06,0,2.13E-08,0,7.47E-09,0,0.000001101,0,2.76E-06,0,6.00E-09,0,3.77E-07,6.98E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00070196,0.00041041,0,0,0,0,0
354,0.000006338,0,2.30E-08,1.63E-07,6.19E-07,0.000001637,0.000003482,0,2.34E-06,0,4.07E-08,0,7.47E-09,0,0.000001141,0,0.000003082,0,1.49E-07,0,3.91E-07,7.17E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00072242,0.00040769,0,0,0,0,0
355,0.000006342,0,2.29E-08,1.70E-07,5.87E-07,0.000001693,0.000003661,0,2.34E-06,0,3.44E-08,0,7.47E-09,0,0.00000115,0,3.41E-06,0,1.04E-07,0,4.04E-07,7.34E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00072078,0.00042251,0,0,0,0,0
356,6.35E-06,0,2.37E-08,1.78E-07,5.79E-07,0.000001996,0.000003818,0,2.32E-06,0,3.40E-08,0,7.47E-09,0,0.000001148,0,0.000003813,0,1.13E-07,0,4.43E-07,7.51E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00071507,0.00040863,0,0,0,0,0
357,6.36E-06,0,2.41E-08,1.87E-07,6.53E-07,0.000003415,0.000003968,0,2.32E-06,0,1.76E-08,0,7.47E-09,0,0.000001147,0,0.000004425,0,6.18E-08,0,5.89E-07,7.72E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00071735,0.00041581,0,0,0,0,0
358,6.39E-06,0,2.31E-08,1.99E-07,8.36E-07,0.000006554,0.000004119,0,2.40E-06,0,1.51E-08,0,7.47E-09,0,0.000001149,0,0.000005298,0,1.48E-07,0,8.99E-07,7.94E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00074056,0.00041297,0,0,0,0,0
359,0.000006423,0,2.23E-08,2.13E-07,0.000001114,0.00001176,0.000004258,0,2.32E-06,0,1.53E-08,0,7.47E-09,0,0.000001149,0,0.000006421,0,3.99E-07,0,1.40E-06,8.15E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.00071525,0.00042124,0,0,0,0,0
360,0.000006462,0,2.34E-08,2.29E-07,0.000001405,0.00001763,0.00000437,0,2.28E-06,0,1.62E-08,0,7.47E-09,0,0.000001137,0,7.57E-06,0,4.08E-07,0,0.000001961,8.34E-07,0,0,0,0,0,0,0,0.000239027,0,0,0.0007031,0.00042221,4.00E-17,-3.79E-19,4.01E-17,-4.34E-19,0
361,0.000006511,0,2.65E-08,2.45E-07,0.000001652,2.31E-05,0.000004438,0,2.39E-06,0,1.83E-08,0,7.47E-09,0,0.000001124,0,0.000008572,0,2.78E-07,0,0.000002474,8.53E-07,0,0,0,0,0,0,0,0.000239027,0.00049566,0,0.00073627,0.00041932,4.00E-17,0,4.00E-17,0,0
362,0.000006577,0,3.07E-08,2.58E-07,0.000001817,2.73E-05,0.000004455,0,2.34E-06,0,9.42E-09,0,7.47E-09,0,0.000001138,0,0.000009286,0,6.29E-07,0,0.00000286,8.75E-07,0,0,0,0,0,0,0,0.000239027,0.00044854,0,0.0007227,0.00041581,3.96E-17,0,3.96E-17,0,0
363,0.000006657,0,3.02E-08,2.69E-07,0.000001949,0.00003052,0.000004467,0,2.38E-06,0,2.29E-09,0,7.47E-09,0,0.000001231,0,0.000009726,0,4.46E-07,0,0.00000316,8.99E-07,0,0,0,0,0,0,0,0.000239027,0.00041246,0,0.00073467,0.00041885,3.91E-17,0,3.91E-17,0,0
364,0.000006746,0,2.73E-08,2.80E-07,0.000002068,0.00003313,0.000004491,0,2.41E-06,0,2.53E-09,0,7.47E-09,0,0.000001358,0,9.92E-06,0,2.29E-07,0,0.000003403,9.22E-07,0,0,0,0,0,0,0,0.000239027,0.00041599,0,0.00074349,0.00041995,3.87E-17,0,3.87E-17,0,0
365,0.00000684,0,2.57E-08,2.90E-07,0.000002177,0.00003528,0.000004529,0,2.31E-06,0,7.13E-09,0,7.47E-09,0,0.000001471,0,0.000009902,0,4.49E-07,0,0.000003605,9.43E-07,0,0,0,0,0,0,0,0.000239027,0.00042632,0,0.00071288,0.00042505,3.83E-17,0,3.83E-17,0,0
366,0.000006937,0,3.00E-08,3.01E-07,0.000002238,0.00003678,0.000004564,0,2.36E-06,0,1.04E-08,0,7.47E-09,0,0.000001538,0,0.000009786,0,3.10E-07,0,0.000003744,9.63E-07,0,0,0,0,0,0,0,0.000239027,0.00043876,0,0.00072932,0.00042014,3.79E-17,0,3.79E-17,0,0
367,0.000007035,0,3.17E-08,3.10E-07,0.000002253,0.00003732,0.00000457,0,2.38E-06,0,1.40E-08,0,7.47E-09,0,0.000001576,0,0.000009569,0,2.98E-07,0,0.00000379,9.88E-07,0,0,0,0,0,0,0,0.000239027,0.00044556,0,0.00073604,0.00043043,3.75E-17,0,3.75E-17,0,0
368,0.000007121,0,3.20E-08,3.19E-07,0.000002229,0.00003692,0.000004557,0,2.39E-06,0,2.82E-09,0,7.47E-09,0,0.000001603,0,0.000009241,0,2.93E-07,0,0.000003749,0.000001014,0,0,0,0,0,0,0,0.000239027,0.00042899,0,0.00073654,0.0004082,3.70E-17,0,3.70E-17,0,0
369,0.000007184,0,3.47E-08,3.28E-07,0.00000218,0.00003584,0.000004562,0,2.38E-06,0,4.78E-09,0,7.47E-09,0,1.64E-06,0,0.000008758,0,4.99E-08,0,0.000003654,0.000001039,0,0,0,0,0,0,0,0.000239027,0.00040942,0,0.00073586,0.00041774,3.66E-17,0,3.66E-17,0,0
