Wavelength,Y
380,0
385,0.0683002
390,0.0683002
395,0.1366004
400,0.2732008
405,0.4098012
410,0.8196024
415,1.5026044
420,2.732008
425,4.9859146
430,7.9228232
435,11.4744336
440,15.709046
445,20.3534596
450,25.954076
455,32.784096
460,40.98012
465,50.4738478
470,62.153182
475,76.9060252
480,94.937278
485,115.6322386
490,142.064416
495,176.6243172
500,220.609646
505,278.1867146
510,343.550006
515,415.4018164
520,484.93142
525,541.7571864
530,588.747724
535,624.8785298
540,651.583908
545,669.5468606
550,679.58699
555,683.002
560,679.58699
565,668.3857572
570,650.217904
575,625.2200308
580,594.21174
585,557.5345326
590,517.032514
595,474.6180898
600,430.974262
605,387.1255336
610,343.550006
615,301.3404824
620,260.223762
625,219.243642
630,180.99553
635,148.211434
640,119.52535
645,94.3908764
650,73.081214
655,55.7329632
660,41.663122
665,30.4618892
670,21.856064
675,15.8456464
680,11.611034
685,8.1277238
690,5.6006164
695,3.8931114
700,2.8003082
705,1.9807058
710,1.4343042
715,1.024503
720,0.683002
725,0.4781014
730,0.341501
735,0.2732008
740,0.1366004
745,0.1366004
750,0.0683002
755,0.0683002
760,0.0683002
765,0
770,0
775,0
780,0
